column_name,data_type,is_key,business_description
prod_qty_raw,INTEGER,NONE,normalized quantitative value for aggregate reporting
cust_code_norm,VARCHAR(255),NONE,temporal marker for transaction lifecycle
sale_ref_pk,UUID,PRIMARY,normalized quantitative value for aggregate reporting
dept_name_sys,UUID,NONE,secondary reference index for cross-table lookup
supp_uuid_raw,DATETIME,NONE,foreign key mapping to parent entity relational graph
inv_uuid_norm,UUID,NONE,secondary reference index for cross-table lookup
addr_desc_pk,"DECIMAL(10,2)",PRIMARY,categorical label for domain classification
sale_dt_norm,DATETIME,NONE,unique identifier for the primary record
dept_name_v2,UUID,NONE,normalized quantitative value for aggregate reporting
inv_amt_norm,DATETIME,NONE,status flag indicating current operational state
sale_desc_fk,UUID,FOREIGN,descriptive string for human-readable indexing
txn_uuid_sys,INTEGER,NONE,unique identifier for the primary record
txn_id_norm,"DECIMAL(10,2)",NONE,temporal marker for transaction lifecycle
user_name_01,VARCHAR(255),NONE,secondary reference index for cross-table lookup
user_id_raw,DATETIME,NONE,unique identifier for the primary record
inv_id_v2,UUID,NONE,secondary reference index for cross-table lookup
dept_desc_v2,INTEGER,NONE,normalized quantitative value for aggregate reporting
sale_ref_sys,DATETIME,NONE,foreign key mapping to parent entity relational graph
emp_id_fk,VARCHAR(255),FOREIGN,temporal marker for transaction lifecycle
dept_qty_pk,INTEGER,PRIMARY,categorical label for domain classification
inv_cat_sys,INTEGER,NONE,secondary reference index for cross-table lookup
inv_desc_01,VARCHAR(255),NONE,foreign key mapping to parent entity relational graph
supp_dt_v2,UUID,NONE,foreign key mapping to parent entity relational graph
cust_amt_norm,VARCHAR(255),NONE,descriptive string for human-readable indexing
user_ref_pk,INTEGER,PRIMARY,normalized quantitative value for aggregate reporting
txn_stat_pk,"DECIMAL(10,2)",PRIMARY,temporal marker for transaction lifecycle
dept_name_pk,INTEGER,PRIMARY,unique identifier for the primary record
sale_cat_sys,"DECIMAL(10,2)",NONE,status flag indicating current operational state
order_uuid_pk,DATETIME,PRIMARY,normalized quantitative value for aggregate reporting
cust_id_01,DATETIME,NONE,categorical label for domain classification
prod_stat_v2,UUID,NONE,descriptive string for human-readable indexing
addr_dt_01,UUID,NONE,foreign key mapping to parent entity relational graph
emp_dt_v2,INTEGER,NONE,temporal marker for transaction lifecycle
order_desc_sys,VARCHAR(255),NONE,status flag indicating current operational state
prod_dt_v2,DATETIME,NONE,temporal marker for transaction lifecycle
addr_stat_sys,UUID,NONE,categorical label for domain classification
emp_dt_sys,VARCHAR(255),NONE,descriptive string for human-readable indexing
cust_dt_fk,DATETIME,FOREIGN,secondary reference index for cross-table lookup
user_ref_fk,VARCHAR(255),FOREIGN,unique identifier for the primary record
prod_dt_v2,INTEGER,NONE,unique identifier for the primary record
cust_amt_norm,VARCHAR(255),NONE,categorical label for domain classification
user_desc_sys,UUID,NONE,foreign key mapping to parent entity relational graph
order_uuid_sys,INTEGER,NONE,categorical label for domain classification
sale_dt_raw,INTEGER,NONE,foreign key mapping to parent entity relational graph
inv_dt_fk,UUID,FOREIGN,descriptive string for human-readable indexing
user_amt_norm,DATETIME,NONE,categorical label for domain classification
dept_dt_pk,"DECIMAL(10,2)",PRIMARY,categorical label for domain classification
order_dt_v2,DATETIME,NONE,normalized quantitative value for aggregate reporting
sale_name_raw,INTEGER,NONE,secondary reference index for cross-table lookup
sale_dt_raw,UUID,NONE,unique identifier for the primary record
cust_qty_raw,DATETIME,NONE,foreign key mapping to parent entity relational graph
order_name_01,INTEGER,NONE,categorical label for domain classification
emp_stat_pk,"DECIMAL(10,2)",PRIMARY,secondary reference index for cross-table lookup
prod_code_sys,"DECIMAL(10,2)",NONE,status flag indicating current operational state
user_ref_raw,INTEGER,NONE,secondary reference index for cross-table lookup
user_desc_raw,INTEGER,NONE,descriptive string for human-readable indexing
txn_name_fk,INTEGER,FOREIGN,status flag indicating current operational state
txn_dt_raw,UUID,NONE,temporal marker for transaction lifecycle
addr_uuid_raw,"DECIMAL(10,2)",NONE,status flag indicating current operational state
supp_code_sys,UUID,NONE,foreign key mapping to parent entity relational graph
addr_name_fk,VARCHAR(255),FOREIGN,unique identifier for the primary record
dept_ref_sys,INTEGER,NONE,normalized quantitative value for aggregate reporting
inv_ref_fk,"DECIMAL(10,2)",FOREIGN,status flag indicating current operational state
sale_desc_raw,DATETIME,NONE,foreign key mapping to parent entity relational graph
inv_stat_sys,VARCHAR(255),NONE,secondary reference index for cross-table lookup
order_dt_01,VARCHAR(255),NONE,categorical label for domain classification
addr_stat_pk,INTEGER,PRIMARY,secondary reference index for cross-table lookup
dept_amt_raw,UUID,NONE,unique identifier for the primary record
inv_cat_v2,"DECIMAL(10,2)",NONE,unique identifier for the primary record
dept_qty_fk,INTEGER,FOREIGN,descriptive string for human-readable indexing
txn_id_pk,UUID,PRIMARY,foreign key mapping to parent entity relational graph
cust_id_fk,INTEGER,FOREIGN,categorical label for domain classification
prod_dt_sys,VARCHAR(255),NONE,secondary reference index for cross-table lookup
emp_dt_fk,"DECIMAL(10,2)",FOREIGN,foreign key mapping to parent entity relational graph
txn_qty_sys,VARCHAR(255),NONE,status flag indicating current operational state
user_qty_sys,UUID,NONE,normalized quantitative value for aggregate reporting
order_ref_norm,INTEGER,NONE,normalized quantitative value for aggregate reporting
supp_desc_raw,DATETIME,NONE,foreign key mapping to parent entity relational graph
supp_code_sys,DATETIME,NONE,foreign key mapping to parent entity relational graph
emp_id_raw,UUID,NONE,normalized quantitative value for aggregate reporting
prod_id_pk,UUID,PRIMARY,temporal marker for transaction lifecycle
user_name_v2,"DECIMAL(10,2)",NONE,status flag indicating current operational state
cust_cat_pk,DATETIME,PRIMARY,unique identifier for the primary record
cust_id_01,DATETIME,NONE,normalized quantitative value for aggregate reporting
prod_dt_v2,UUID,NONE,categorical label for domain classification
sale_name_norm,DATETIME,NONE,descriptive string for human-readable indexing
inv_amt_norm,INTEGER,NONE,unique identifier for the primary record
dept_amt_01,INTEGER,NONE,unique identifier for the primary record
addr_ref_sys,VARCHAR(255),NONE,normalized quantitative value for aggregate reporting
txn_amt_raw,VARCHAR(255),NONE,secondary reference index for cross-table lookup
cust_code_01,UUID,NONE,unique identifier for the primary record
order_stat_pk,DATETIME,PRIMARY,secondary reference index for cross-table lookup
supp_ref_norm,"DECIMAL(10,2)",NONE,secondary reference index for cross-table lookup
user_amt_raw,UUID,NONE,unique identifier for the primary record
txn_name_01,UUID,NONE,temporal marker for transaction lifecycle
emp_code_sys,INTEGER,NONE,temporal marker for transaction lifecycle
emp_qty_sys,VARCHAR(255),NONE,categorical label for domain classification
order_cat_01,UUID,NONE,normalized quantitative value for aggregate reporting
order_amt_01,"DECIMAL(10,2)",NONE,descriptive string for human-readable indexing
order_desc_sys,UUID,NONE,status flag indicating current operational state
supp_dt_v2,UUID,NONE,unique identifier for the primary record
inv_cat_01,UUID,NONE,categorical label for domain classification
supp_desc_01,INTEGER,NONE,status flag indicating current operational state
addr_dt_fk,DATETIME,FOREIGN,secondary reference index for cross-table lookup
txn_id_pk,"DECIMAL(10,2)",PRIMARY,temporal marker for transaction lifecycle
sale_dt_01,"DECIMAL(10,2)",NONE,descriptive string for human-readable indexing
sale_id_pk,INTEGER,PRIMARY,foreign key mapping to parent entity relational graph
txn_stat_v2,VARCHAR(255),NONE,status flag indicating current operational state
addr_dt_pk,"DECIMAL(10,2)",PRIMARY,secondary reference index for cross-table lookup
dept_code_pk,INTEGER,PRIMARY,unique identifier for the primary record
addr_ref_sys,"DECIMAL(10,2)",NONE,foreign key mapping to parent entity relational graph
txn_amt_raw,INTEGER,NONE,unique identifier for the primary record
dept_name_raw,UUID,NONE,temporal marker for transaction lifecycle
sale_code_01,UUID,NONE,categorical label for domain classification
cust_desc_raw,UUID,NONE,descriptive string for human-readable indexing
order_uuid_fk,UUID,FOREIGN,descriptive string for human-readable indexing
dept_name_v2,DATETIME,NONE,categorical label for domain classification
supp_uuid_raw,UUID,NONE,descriptive string for human-readable indexing
supp_qty_raw,INTEGER,NONE,status flag indicating current operational state
order_code_v2,"DECIMAL(10,2)",NONE,descriptive string for human-readable indexing
cust_stat_raw,INTEGER,NONE,secondary reference index for cross-table lookup
emp_code_norm,"DECIMAL(10,2)",NONE,temporal marker for transaction lifecycle
dept_amt_raw,DATETIME,NONE,categorical label for domain classification
dept_ref_fk,DATETIME,FOREIGN,status flag indicating current operational state
order_id_raw,INTEGER,NONE,normalized quantitative value for aggregate reporting
sale_ref_v2,UUID,NONE,unique identifier for the primary record
addr_stat_01,INTEGER,NONE,temporal marker for transaction lifecycle
sale_ref_raw,"DECIMAL(10,2)",NONE,normalized quantitative value for aggregate reporting
cust_code_fk,VARCHAR(255),FOREIGN,normalized quantitative value for aggregate reporting
prod_desc_pk,"DECIMAL(10,2)",PRIMARY,secondary reference index for cross-table lookup
txn_qty_norm,DATETIME,NONE,temporal marker for transaction lifecycle
emp_uuid_01,UUID,NONE,temporal marker for transaction lifecycle
addr_name_pk,UUID,PRIMARY,normalized quantitative value for aggregate reporting
addr_stat_sys,DATETIME,NONE,normalized quantitative value for aggregate reporting
addr_uuid_fk,UUID,FOREIGN,temporal marker for transaction lifecycle
txn_stat_pk,DATETIME,PRIMARY,temporal marker for transaction lifecycle
emp_ref_01,INTEGER,NONE,secondary reference index for cross-table lookup
addr_name_raw,UUID,NONE,normalized quantitative value for aggregate reporting
prod_cat_fk,"DECIMAL(10,2)",FOREIGN,temporal marker for transaction lifecycle
user_desc_pk,INTEGER,PRIMARY,normalized quantitative value for aggregate reporting
sale_id_01,"DECIMAL(10,2)",NONE,secondary reference index for cross-table lookup
user_ref_sys,"DECIMAL(10,2)",NONE,unique identifier for the primary record
sale_amt_v2,VARCHAR(255),NONE,foreign key mapping to parent entity relational graph
addr_id_v2,DATETIME,NONE,status flag indicating current operational state
txn_stat_norm,INTEGER,NONE,foreign key mapping to parent entity relational graph
cust_dt_v2,VARCHAR(255),NONE,secondary reference index for cross-table lookup
txn_code_pk,"DECIMAL(10,2)",PRIMARY,descriptive string for human-readable indexing
supp_ref_norm,DATETIME,NONE,status flag indicating current operational state
txn_stat_01,"DECIMAL(10,2)",NONE,descriptive string for human-readable indexing
order_name_norm,VARCHAR(255),NONE,unique identifier for the primary record
emp_ref_fk,"DECIMAL(10,2)",FOREIGN,categorical label for domain classification
addr_dt_01,DATETIME,NONE,categorical label for domain classification
inv_ref_pk,"DECIMAL(10,2)",PRIMARY,temporal marker for transaction lifecycle
user_id_raw,"DECIMAL(10,2)",NONE,temporal marker for transaction lifecycle
txn_uuid_sys,DATETIME,NONE,temporal marker for transaction lifecycle
order_ref_norm,UUID,NONE,unique identifier for the primary record
emp_cat_raw,DATETIME,NONE,unique identifier for the primary record
txn_qty_v2,DATETIME,NONE,descriptive string for human-readable indexing
cust_uuid_v2,"DECIMAL(10,2)",NONE,foreign key mapping to parent entity relational graph
order_cat_sys,DATETIME,NONE,categorical label for domain classification
prod_cat_sys,"DECIMAL(10,2)",NONE,foreign key mapping to parent entity relational graph
txn_code_v2,VARCHAR(255),NONE,normalized quantitative value for aggregate reporting
inv_uuid_sys,INTEGER,NONE,categorical label for domain classification
order_cat_sys,"DECIMAL(10,2)",NONE,normalized quantitative value for aggregate reporting
dept_amt_pk,"DECIMAL(10,2)",PRIMARY,descriptive string for human-readable indexing
addr_dt_raw,INTEGER,NONE,secondary reference index for cross-table lookup
addr_stat_fk,INTEGER,FOREIGN,status flag indicating current operational state
dept_code_fk,"DECIMAL(10,2)",FOREIGN,descriptive string for human-readable indexing
cust_qty_raw,VARCHAR(255),NONE,temporal marker for transaction lifecycle
txn_qty_sys,VARCHAR(255),NONE,descriptive string for human-readable indexing
cust_code_sys,"DECIMAL(10,2)",NONE,descriptive string for human-readable indexing
txn_desc_pk,"DECIMAL(10,2)",PRIMARY,categorical label for domain classification
dept_uuid_sys,UUID,NONE,foreign key mapping to parent entity relational graph
addr_cat_raw,INTEGER,NONE,descriptive string for human-readable indexing
emp_dt_sys,VARCHAR(255),NONE,normalized quantitative value for aggregate reporting
user_code_pk,VARCHAR(255),PRIMARY,normalized quantitative value for aggregate reporting
dept_stat_sys,VARCHAR(255),NONE,categorical label for domain classification
supp_id_sys,"DECIMAL(10,2)",NONE,descriptive string for human-readable indexing
user_amt_pk,VARCHAR(255),PRIMARY,secondary reference index for cross-table lookup
supp_dt_v2,VARCHAR(255),NONE,secondary reference index for cross-table lookup
inv_desc_norm,UUID,NONE,secondary reference index for cross-table lookup
cust_code_01,INTEGER,NONE,foreign key mapping to parent entity relational graph
dept_name_v2,VARCHAR(255),NONE,temporal marker for transaction lifecycle
inv_ref_sys,UUID,NONE,foreign key mapping to parent entity relational graph
inv_name_v2,DATETIME,NONE,foreign key mapping to parent entity relational graph
prod_dt_01,"DECIMAL(10,2)",NONE,status flag indicating current operational state
cust_name_raw,UUID,NONE,foreign key mapping to parent entity relational graph
dept_desc_fk,"DECIMAL(10,2)",FOREIGN,categorical label for domain classification
txn_stat_sys,INTEGER,NONE,unique identifier for the primary record
order_dt_fk,DATETIME,FOREIGN,status flag indicating current operational state
addr_cat_fk,DATETIME,FOREIGN,temporal marker for transaction lifecycle
order_name_pk,"DECIMAL(10,2)",PRIMARY,categorical label for domain classification
addr_desc_sys,"DECIMAL(10,2)",NONE,descriptive string for human-readable indexing
user_stat_sys,"DECIMAL(10,2)",NONE,temporal marker for transaction lifecycle
sale_amt_fk,INTEGER,FOREIGN,temporal marker for transaction lifecycle
prod_desc_pk,UUID,PRIMARY,foreign key mapping to parent entity relational graph
addr_dt_raw,DATETIME,NONE,secondary reference index for cross-table lookup
emp_desc_norm,INTEGER,NONE,secondary reference index for cross-table lookup
txn_id_v2,INTEGER,NONE,descriptive string for human-readable indexing
supp_amt_01,"DECIMAL(10,2)",NONE,temporal marker for transaction lifecycle
emp_code_sys,INTEGER,NONE,descriptive string for human-readable indexing
dept_id_raw,DATETIME,NONE,temporal marker for transaction lifecycle
prod_uuid_fk,INTEGER,FOREIGN,status flag indicating current operational state
supp_desc_sys,DATETIME,NONE,descriptive string for human-readable indexing
inv_cat_pk,INTEGER,PRIMARY,temporal marker for transaction lifecycle
supp_name_norm,VARCHAR(255),NONE,secondary reference index for cross-table lookup
dept_uuid_v2,INTEGER,NONE,secondary reference index for cross-table lookup
user_id_norm,VARCHAR(255),NONE,temporal marker for transaction lifecycle
inv_dt_raw,"DECIMAL(10,2)",NONE,secondary reference index for cross-table lookup
cust_qty_norm,UUID,NONE,categorical label for domain classification
inv_qty_pk,"DECIMAL(10,2)",PRIMARY,descriptive string for human-readable indexing
emp_uuid_norm,INTEGER,NONE,descriptive string for human-readable indexing
txn_amt_pk,"DECIMAL(10,2)",PRIMARY,categorical label for domain classification
dept_cat_pk,VARCHAR(255),PRIMARY,temporal marker for transaction lifecycle
inv_id_fk,INTEGER,FOREIGN,temporal marker for transaction lifecycle
supp_name_pk,INTEGER,PRIMARY,unique identifier for the primary record
inv_cat_norm,DATETIME,NONE,descriptive string for human-readable indexing
cust_name_norm,INTEGER,NONE,categorical label for domain classification
addr_code_pk,DATETIME,PRIMARY,unique identifier for the primary record
sale_code_fk,VARCHAR(255),FOREIGN,normalized quantitative value for aggregate reporting
emp_uuid_fk,UUID,FOREIGN,temporal marker for transaction lifecycle
prod_name_raw,"DECIMAL(10,2)",NONE,unique identifier for the primary record
user_ref_pk,VARCHAR(255),PRIMARY,status flag indicating current operational state
supp_id_pk,DATETIME,PRIMARY,categorical label for domain classification
order_uuid_fk,UUID,FOREIGN,secondary reference index for cross-table lookup
inv_desc_norm,"DECIMAL(10,2)",NONE,foreign key mapping to parent entity relational graph
prod_code_raw,UUID,NONE,unique identifier for the primary record
sale_dt_norm,VARCHAR(255),NONE,categorical label for domain classification
inv_uuid_v2,"DECIMAL(10,2)",NONE,foreign key mapping to parent entity relational graph
cust_ref_01,UUID,NONE,foreign key mapping to parent entity relational graph
addr_id_v2,DATETIME,NONE,descriptive string for human-readable indexing
sale_stat_raw,"DECIMAL(10,2)",NONE,unique identifier for the primary record
addr_ref_v2,DATETIME,NONE,status flag indicating current operational state
user_amt_pk,UUID,PRIMARY,normalized quantitative value for aggregate reporting
sale_code_fk,VARCHAR(255),FOREIGN,categorical label for domain classification
dept_qty_norm,UUID,NONE,status flag indicating current operational state
sale_qty_fk,UUID,FOREIGN,normalized quantitative value for aggregate reporting
sale_code_norm,"DECIMAL(10,2)",NONE,unique identifier for the primary record
dept_desc_01,DATETIME,NONE,unique identifier for the primary record
inv_stat_pk,"DECIMAL(10,2)",PRIMARY,temporal marker for transaction lifecycle
order_code_sys,VARCHAR(255),NONE,secondary reference index for cross-table lookup
emp_desc_fk,INTEGER,FOREIGN,status flag indicating current operational state
addr_desc_sys,DATETIME,NONE,descriptive string for human-readable indexing
prod_amt_norm,"DECIMAL(10,2)",NONE,descriptive string for human-readable indexing
cust_cat_norm,"DECIMAL(10,2)",NONE,descriptive string for human-readable indexing
emp_name_norm,VARCHAR(255),NONE,status flag indicating current operational state
prod_ref_pk,INTEGER,PRIMARY,status flag indicating current operational state
txn_stat_pk,UUID,PRIMARY,normalized quantitative value for aggregate reporting
cust_uuid_sys,"DECIMAL(10,2)",NONE,categorical label for domain classification
addr_uuid_v2,INTEGER,NONE,temporal marker for transaction lifecycle
inv_stat_01,DATETIME,NONE,status flag indicating current operational state
cust_code_raw,VARCHAR(255),NONE,descriptive string for human-readable indexing
cust_id_sys,INTEGER,NONE,categorical label for domain classification
sale_amt_fk,VARCHAR(255),FOREIGN,unique identifier for the primary record
sale_qty_norm,INTEGER,NONE,unique identifier for the primary record
sale_name_norm,UUID,NONE,temporal marker for transaction lifecycle
addr_code_fk,VARCHAR(255),FOREIGN,descriptive string for human-readable indexing
inv_ref_pk,INTEGER,PRIMARY,foreign key mapping to parent entity relational graph
supp_dt_norm,UUID,NONE,categorical label for domain classification
inv_code_pk,UUID,PRIMARY,unique identifier for the primary record
emp_id_norm,DATETIME,NONE,status flag indicating current operational state
dept_id_pk,"DECIMAL(10,2)",PRIMARY,categorical label for domain classification
prod_code_sys,VARCHAR(255),NONE,descriptive string for human-readable indexing
dept_amt_sys,DATETIME,NONE,categorical label for domain classification
user_code_raw,"DECIMAL(10,2)",NONE,secondary reference index for cross-table lookup
dept_ref_v2,UUID,NONE,status flag indicating current operational state
cust_cat_raw,DATETIME,NONE,temporal marker for transaction lifecycle
prod_name_norm,INTEGER,NONE,status flag indicating current operational state
sale_uuid_fk,VARCHAR(255),FOREIGN,secondary reference index for cross-table lookup
supp_amt_01,VARCHAR(255),NONE,descriptive string for human-readable indexing
txn_uuid_01,"DECIMAL(10,2)",NONE,secondary reference index for cross-table lookup
user_dt_sys,VARCHAR(255),NONE,foreign key mapping to parent entity relational graph
sale_cat_01,INTEGER,NONE,descriptive string for human-readable indexing
prod_ref_norm,INTEGER,NONE,secondary reference index for cross-table lookup
prod_cat_pk,INTEGER,PRIMARY,status flag indicating current operational state
emp_stat_pk,INTEGER,PRIMARY,secondary reference index for cross-table lookup
sale_qty_raw,"DECIMAL(10,2)",NONE,status flag indicating current operational state
inv_qty_fk,VARCHAR(255),FOREIGN,categorical label for domain classification
dept_cat_raw,"DECIMAL(10,2)",NONE,secondary reference index for cross-table lookup
user_name_raw,DATETIME,NONE,descriptive string for human-readable indexing
addr_stat_pk,VARCHAR(255),PRIMARY,normalized quantitative value for aggregate reporting
sale_code_fk,"DECIMAL(10,2)",FOREIGN,normalized quantitative value for aggregate reporting
prod_cat_sys,DATETIME,NONE,unique identifier for the primary record
inv_amt_01,VARCHAR(255),NONE,descriptive string for human-readable indexing
inv_uuid_norm,VARCHAR(255),NONE,temporal marker for transaction lifecycle
cust_desc_raw,UUID,NONE,categorical label for domain classification
sale_amt_norm,DATETIME,NONE,foreign key mapping to parent entity relational graph
dept_id_norm,"DECIMAL(10,2)",NONE,unique identifier for the primary record
dept_qty_raw,DATETIME,NONE,categorical label for domain classification
inv_uuid_pk,"DECIMAL(10,2)",PRIMARY,descriptive string for human-readable indexing
supp_desc_sys,DATETIME,NONE,temporal marker for transaction lifecycle
dept_ref_fk,INTEGER,FOREIGN,temporal marker for transaction lifecycle
addr_desc_pk,VARCHAR(255),PRIMARY,status flag indicating current operational state
emp_stat_v2,"DECIMAL(10,2)",NONE,normalized quantitative value for aggregate reporting
emp_amt_norm,DATETIME,NONE,normalized quantitative value for aggregate reporting
prod_name_raw,INTEGER,NONE,temporal marker for transaction lifecycle
inv_uuid_sys,"DECIMAL(10,2)",NONE,categorical label for domain classification
user_uuid_01,UUID,NONE,descriptive string for human-readable indexing
sale_dt_pk,UUID,PRIMARY,categorical label for domain classification
emp_uuid_01,VARCHAR(255),NONE,status flag indicating current operational state
cust_id_raw,DATETIME,NONE,normalized quantitative value for aggregate reporting
prod_dt_01,UUID,NONE,unique identifier for the primary record
inv_uuid_sys,DATETIME,NONE,unique identifier for the primary record
sale_desc_raw,"DECIMAL(10,2)",NONE,descriptive string for human-readable indexing
cust_dt_sys,"DECIMAL(10,2)",NONE,unique identifier for the primary record
dept_id_raw,"DECIMAL(10,2)",NONE,categorical label for domain classification
supp_name_01,UUID,NONE,status flag indicating current operational state
prod_desc_raw,VARCHAR(255),NONE,categorical label for domain classification
addr_ref_v2,UUID,NONE,unique identifier for the primary record
addr_qty_v2,"DECIMAL(10,2)",NONE,unique identifier for the primary record
supp_uuid_v2,UUID,NONE,foreign key mapping to parent entity relational graph
txn_qty_01,VARCHAR(255),NONE,unique identifier for the primary record
inv_dt_norm,INTEGER,NONE,secondary reference index for cross-table lookup
prod_amt_01,UUID,NONE,temporal marker for transaction lifecycle
prod_desc_sys,"DECIMAL(10,2)",NONE,secondary reference index for cross-table lookup
addr_stat_sys,DATETIME,NONE,descriptive string for human-readable indexing
addr_cat_norm,VARCHAR(255),NONE,categorical label for domain classification
prod_cat_01,DATETIME,NONE,foreign key mapping to parent entity relational graph
sale_code_sys,DATETIME,NONE,status flag indicating current operational state
supp_cat_norm,VARCHAR(255),NONE,normalized quantitative value for aggregate reporting
cust_amt_norm,"DECIMAL(10,2)",NONE,unique identifier for the primary record
addr_cat_pk,"DECIMAL(10,2)",PRIMARY,status flag indicating current operational state
order_name_raw,INTEGER,NONE,unique identifier for the primary record
supp_id_sys,INTEGER,NONE,secondary reference index for cross-table lookup
user_qty_fk,"DECIMAL(10,2)",FOREIGN,normalized quantitative value for aggregate reporting
user_dt_v2,INTEGER,NONE,descriptive string for human-readable indexing
order_uuid_sys,"DECIMAL(10,2)",NONE,status flag indicating current operational state
user_code_norm,UUID,NONE,temporal marker for transaction lifecycle
prod_code_pk,"DECIMAL(10,2)",PRIMARY,temporal marker for transaction lifecycle
supp_desc_pk,VARCHAR(255),PRIMARY,secondary reference index for cross-table lookup
txn_qty_sys,INTEGER,NONE,secondary reference index for cross-table lookup
sale_id_fk,VARCHAR(255),FOREIGN,status flag indicating current operational state
prod_cat_norm,VARCHAR(255),NONE,secondary reference index for cross-table lookup
cust_code_v2,VARCHAR(255),NONE,normalized quantitative value for aggregate reporting
prod_qty_pk,INTEGER,PRIMARY,status flag indicating current operational state
dept_stat_fk,"DECIMAL(10,2)",FOREIGN,secondary reference index for cross-table lookup
order_cat_raw,UUID,NONE,descriptive string for human-readable indexing
addr_stat_v2,"DECIMAL(10,2)",NONE,descriptive string for human-readable indexing
emp_qty_norm,INTEGER,NONE,unique identifier for the primary record
emp_qty_raw,UUID,NONE,status flag indicating current operational state
txn_amt_fk,"DECIMAL(10,2)",FOREIGN,secondary reference index for cross-table lookup
addr_dt_raw,VARCHAR(255),NONE,categorical label for domain classification
prod_name_norm,"DECIMAL(10,2)",NONE,foreign key mapping to parent entity relational graph
supp_amt_pk,UUID,PRIMARY,foreign key mapping to parent entity relational graph
inv_uuid_01,DATETIME,NONE,descriptive string for human-readable indexing
txn_stat_norm,"DECIMAL(10,2)",NONE,foreign key mapping to parent entity relational graph
user_name_sys,DATETIME,NONE,status flag indicating current operational state
dept_id_fk,UUID,FOREIGN,status flag indicating current operational state
addr_cat_01,"DECIMAL(10,2)",NONE,temporal marker for transaction lifecycle
dept_desc_norm,INTEGER,NONE,descriptive string for human-readable indexing
cust_ref_01,UUID,NONE,normalized quantitative value for aggregate reporting
user_stat_v2,UUID,NONE,temporal marker for transaction lifecycle
order_code_fk,INTEGER,FOREIGN,foreign key mapping to parent entity relational graph
sale_desc_01,INTEGER,NONE,categorical label for domain classification
txn_ref_raw,INTEGER,NONE,categorical label for domain classification
inv_uuid_v2,UUID,NONE,normalized quantitative value for aggregate reporting
dept_uuid_pk,INTEGER,PRIMARY,secondary reference index for cross-table lookup
order_amt_v2,"DECIMAL(10,2)",NONE,status flag indicating current operational state
inv_dt_pk,INTEGER,PRIMARY,status flag indicating current operational state
cust_amt_v2,INTEGER,NONE,temporal marker for transaction lifecycle
dept_code_01,"DECIMAL(10,2)",NONE,status flag indicating current operational state
txn_qty_fk,DATETIME,FOREIGN,categorical label for domain classification
supp_desc_sys,DATETIME,NONE,unique identifier for the primary record
prod_uuid_raw,VARCHAR(255),NONE,secondary reference index for cross-table lookup
addr_ref_v2,VARCHAR(255),NONE,unique identifier for the primary record
dept_uuid_norm,VARCHAR(255),NONE,descriptive string for human-readable indexing
user_uuid_fk,VARCHAR(255),FOREIGN,unique identifier for the primary record
order_amt_fk,UUID,FOREIGN,foreign key mapping to parent entity relational graph
addr_dt_raw,"DECIMAL(10,2)",NONE,descriptive string for human-readable indexing
dept_name_pk,VARCHAR(255),PRIMARY,secondary reference index for cross-table lookup
cust_name_fk,INTEGER,FOREIGN,categorical label for domain classification
order_code_norm,INTEGER,NONE,categorical label for domain classification
cust_desc_v2,INTEGER,NONE,descriptive string for human-readable indexing
sale_cat_v2,"DECIMAL(10,2)",NONE,descriptive string for human-readable indexing
prod_qty_raw,VARCHAR(255),NONE,temporal marker for transaction lifecycle
emp_dt_pk,"DECIMAL(10,2)",PRIMARY,unique identifier for the primary record
cust_name_pk,DATETIME,PRIMARY,unique identifier for the primary record
user_cat_raw,DATETIME,NONE,secondary reference index for cross-table lookup
supp_ref_fk,DATETIME,FOREIGN,unique identifier for the primary record
user_stat_v2,INTEGER,NONE,descriptive string for human-readable indexing
addr_code_sys,DATETIME,NONE,status flag indicating current operational state
addr_code_pk,UUID,PRIMARY,descriptive string for human-readable indexing
order_stat_01,VARCHAR(255),NONE,foreign key mapping to parent entity relational graph
dept_stat_raw,UUID,NONE,categorical label for domain classification
cust_uuid_fk,"DECIMAL(10,2)",FOREIGN,normalized quantitative value for aggregate reporting
sale_ref_pk,INTEGER,PRIMARY,descriptive string for human-readable indexing
dept_cat_norm,DATETIME,NONE,foreign key mapping to parent entity relational graph
emp_qty_01,VARCHAR(255),NONE,secondary reference index for cross-table lookup
txn_id_01,DATETIME,NONE,temporal marker for transaction lifecycle
supp_qty_v2,UUID,NONE,descriptive string for human-readable indexing
user_amt_pk,INTEGER,PRIMARY,temporal marker for transaction lifecycle
supp_id_pk,DATETIME,PRIMARY,temporal marker for transaction lifecycle
inv_ref_pk,UUID,PRIMARY,unique identifier for the primary record
supp_desc_norm,DATETIME,NONE,temporal marker for transaction lifecycle
dept_name_pk,INTEGER,PRIMARY,secondary reference index for cross-table lookup
sale_name_fk,"DECIMAL(10,2)",FOREIGN,normalized quantitative value for aggregate reporting
sale_id_01,DATETIME,NONE,secondary reference index for cross-table lookup
cust_dt_fk,VARCHAR(255),FOREIGN,categorical label for domain classification
dept_dt_sys,"DECIMAL(10,2)",NONE,status flag indicating current operational state
addr_stat_norm,INTEGER,NONE,normalized quantitative value for aggregate reporting
supp_cat_v2,DATETIME,NONE,descriptive string for human-readable indexing
dept_uuid_v2,INTEGER,NONE,secondary reference index for cross-table lookup
